number_of_elements,mean_atomic_mass,wtd_mean_atomic_mass,gmean_atomic_mass,wtd_gmean_atomic_mass,entropy_atomic_mass,wtd_entropy_atomic_mass,range_atomic_mass,wtd_range_atomic_mass,std_atomic_mass,wtd_std_atomic_mass,mean_fie,wtd_mean_fie,gmean_fie,wtd_gmean_fie,entropy_fie,wtd_entropy_fie,range_fie,wtd_range_fie,std_fie,wtd_std_fie,mean_atomic_radius,wtd_mean_atomic_radius,gmean_atomic_radius,wtd_gmean_atomic_radius,entropy_atomic_radius,wtd_entropy_atomic_radius,range_atomic_radius,wtd_range_atomic_radius,std_atomic_radius,wtd_std_atomic_radius,mean_Density,wtd_mean_Density,gmean_Density,wtd_gmean_Density,entropy_Density,wtd_entropy_Density,range_Density,wtd_range_Density,std_Density,wtd_std_Density,mean_ElectronAffinity,wtd_mean_ElectronAffinity,gmean_ElectronAffinity,wtd_gmean_ElectronAffinity,entropy_ElectronAffinity,wtd_entropy_ElectronAffinity,range_ElectronAffinity,wtd_range_ElectronAffinity,std_ElectronAffinity,wtd_std_ElectronAffinity,mean_FusionHeat,wtd_mean_FusionHeat,gmean_FusionHeat,wtd_gmean_FusionHeat,entropy_FusionHeat,wtd_entropy_FusionHeat,range_FusionHeat,wtd_range_FusionHeat,std_FusionHeat,wtd_std_FusionHeat,mean_ThermalConductivity,wtd_mean_ThermalConductivity,gmean_ThermalConductivity,wtd_gmean_ThermalConductivity,entropy_ThermalConductivity,wtd_entropy_ThermalConductivity,range_ThermalConductivity,wtd_range_ThermalConductivity,std_ThermalConductivity,wtd_std_ThermalConductivity,mean_Valence,wtd_mean_Valence,gmean_Valence,wtd_gmean_Valence,entropy_Valence,wtd_entropy_Valence,range_Valence,wtd_range_Valence,std_Valence,wtd_std_Valence
4,102.0524,79.822242,94.72372112,75.22200314,1.316818752,1.196931305,84.271,27.446552,37.29724914,30.11383287,686.975,783.2968,664.4664302,764.370774,1.35293565,1.024033343,443.7,368.7582,178.8874699,162.0614229,177.0,157.376,169.8558171,150.7262193,1.345752669,1.166889374,139,59.07,50.62114183,49.30803813,5950.0,6199.622,5704.23917,5966.936748,1.347725396,1.022641355,4364.0,3029.198,1600.876791,1591.124205,40.9125,42.4189,32.29667566,31.73625992,1.174157457,0.774467222,64.05,30.873,26.51278878,30.63098558,13.75,18.155,11.38814224,16.24173605,1.203046799,0.894138864,22.2,10.981,8.598401014,8.104349141,39.5,55.074,29.73826119,48.51136585,1.143664209,0.87469202,68.0,31.402,27.1339271,22.8997931,3.5,3.636,3.30975092,3.436062404,1.333736027,1.002715063,3,1.928,1.118033989,1.181314522
2,99.5245975,86.45278992,90.87069688,79.04254529,0.6075006,0.688258979,81.182805,8.54110839,40.5914025,38.42902293,649.1,684.2016949,639.8826533,675.7879696,0.678980785,0.580845882,218.0,318.0322034,109.0,103.1933671,168.5,163.1864407,167.6901905,162.4682046,0.688345047,0.666128023,33,37.76271186,16.5,15.62101429,7794.5,8150.508475,7715.704764,8078.790424,0.6830552,0.591243622,2211.0,3615.59322,1105.5,1046.607957,58.35,60.5559322,57.94652707,60.18968184,0.686240468,0.600612831,13.7,25.64067797,6.85,6.485087749,10.85,12.57288136,9.439279634,11.23260089,0.566100434,0.41972783,10.7,8.844067797,5.35,5.064995541,55.5,69.83050847,33.1662479,47.32039573,0.323098971,0.208401596,89.0,62.37288136,44.5,42.12940217,4.0,4.0,4.0,4.0,0.693147181,0.640358636,0,1.288135593,0.0,4.44e-16
4,92.50535,60.961,68.03039469,36.89983476,1.172035279,0.995371671,134.3606,36.73551429,55.46561741,58.33184189,784.575,1011.085714,730.8876224,939.5056683,1.31161752,0.78586613,773.0,738.7692857,316.402002,354.4225099,154.0,115.0071429,132.3090287,88.33925369,1.268035455,1.096727239,190,58.93571429,69.52337736,82.44448318,5750.85725,3367.445143,890.8231613,57.15163381,1.091595925,0.821325918,8958.571,1942.476286,3420.58093,3921.341524,91.35,113.2714286,82.04689051,103.9473207,1.2852032,0.822660771,91.0,80.325,40.64317286,39.80774204,6.8305,4.362571429,3.414691483,1.115821328,1.077483256,0.905271888,12.878,2.128571429,4.678043475,5.025405879,106.006645,60.82947429,6.244357387,0.614021289,0.257209774,0.244639047,399.97342,57.12766857,169.808985,138.5791307,2.75,2.307142857,2.632148026,2.259534842,1.342113179,1.096043281,2,1.057142857,0.829156198,0.505631551
5,72.32465,51.21545377,58.63710174,34.91756549,1.44461203,1.314130667,121.3276,20.90814654,40.05351182,44.18633784,787.02,1003.678392,745.0910123,937.6281571,1.551741321,0.905540488,810.6,704.0758385,279.1810982,342.3553519,162.8,114.5816154,142.2453388,89.71092194,1.504459863,1.366372624,205,38.31107692,69.42449136,79.25497092,4963.4858,2948.201308,1096.147284,66.30855014,1.318041665,0.867880271,8958.571,2031.772077,3206.849096,3632.723581,65.23,108.7663308,42.65503213,85.88265689,1.253393884,0.764824774,127.05,76.66329231,54.60631465,49.77396223,9.3044,5.253053846,5.160593357,1.337192835,1.390197361,1.094349429,13.578,2.917546154,4.963869201,5.652540931,102.805316,95.13962,12.07793525,1.089341505,0.713636562,0.227023418,399.97342,90.72414923,151.0028713,165.3493228,2.4,2.080846154,2.352158045,2.066646975,1.589026915,1.228770638,1,1.065153846,0.489897949,0.272598704
4,76.4445625,51.70123333,59.35667247,35.71800334,1.199540745,1.287506054,121.3276,13.75912222,43.82335412,43.42820248,794.0,994.0444444,741.6293489,929.6100896,1.315004308,0.912969442,810.6,635.2814815,311.7434923,339.5268607,164.5,115.6666667,139.0005138,91.29529847,1.256700567,1.332113175,205,21.88888889,77.52580216,77.96675455,4235.85725,3174.963185,669.5565878,79.56054562,1.015407123,0.76268712,8958.571,2322.222,3194.938946,3746.992045,77.2375,109.5666667,53.52796465,87.59078346,1.105182174,0.785117085,127.05,71.6,54.83075523,48.56371531,8.1805,5.541037037,4.035568999,1.454839884,1.112098197,0.997092658,12.878,3.281185185,4.948155288,5.737777693,108.756645,107.6434119,7.55238461,1.364022041,0.336261916,0.180718276,399.97342,103.6899215,168.3010468,173.1005059,2.25,2.074074074,2.213363839,2.060980073,1.368922361,1.210447797,1,0.814814815,0.433012702,0.2618914
5,70.72905,81.12077143,56.85686099,67.81661486,1.433616716,1.1619293,121.3276,38.21056429,40.82961457,40.82338197,766.76,736.4885714,724.0495705,700.5529776,1.547758318,1.361874906,810.6,289.2257143,284.1043372,255.7285768,166.8,172.2357143,145.7188241,153.8935966,1.506817269,1.249049327,205,68.51428571,69.49359683,67.79976935,4290.0858,5386.497,980.4091179,1754.058906,1.316163034,0.902256699,8958.571,3647.795857,2859.697683,3237.901743,63.61,78.22571429,37.55544069,53.40235913,1.203444082,0.984649591,133.4,48.62142857,56.1067233,53.3185553,10.2844,9.680285714,5.483933036,6.277355836,1.363168905,1.119668758,18.478,5.301857143,6.106797314,4.529203074,91.405316,170.9037971,9.353018967,24.97701125,0.513068703,0.228325206,399.97342,162.8533457,154.481288,189.9446707,2.6,2.185714286,2.491461879,2.150980794,1.56495725,1.431024692,2,0.728571429,0.8,0.44054697
3,56.62163333,60.1263,54.69106802,58.4881804,1.064867711,0.980199721,35.8233,22.14898,14.63510791,13.53984969,707.9333333,765.82,669.8729883,735.9560275,1.048007242,0.957056075,527.7,294.78,218.4496026,192.7668996,171.0,156.6,162.8840557,150.3602484,1.050182101,1.089030871,129,16.8,53.72150407,47.10668742,4819.0,5611.6,3379.601177,4447.785046,0.865123614,0.79637508,7018.0,2978.4,2936.145886,2564.342926,48.86666667,48.66,40.86316868,39.26253525,0.950087239,0.879519409,62.3,24.92,25.44436196,27.86830458,14.61,17.066,9.621399744,12.77658317,0.809865001,0.743838903,25.37,10.614,10.37308376,9.639990871,76.33333333,71.6,73.37233921,68.96660351,1.061213055,1.073482561,50.0,11.6,20.49932248,19.23122461,3.0,3.4,2.466212074,2.954176939,0.936888308,0.84636583,4,1.8,1.632993162,1.496662955
4,76.4445625,52.80272932,59.35667247,36.16155056,1.199540745,1.284861265,121.3276,14.91953012,43.82335412,44.51868625,794.0,989.9514056,741.6293489,923.7100815,1.315004308,0.921461205,810.6,630.851004,311.7434923,343.5056005,164.5,117.4779116,139.0005138,92.19636668,1.256700567,1.336485646,205,23.61445783,77.52580216,79.69550809,4235.85725,3082.828679,669.5565878,78.59981443,1.015407123,0.812644974,8958.571,2158.295819,3194.938946,3664.231545,77.2375,107.6967871,53.52796465,84.65352415,1.105182174,0.786021905,127.05,71.34337349,54.83075523,50.01639319,8.1805,5.472441767,4.035568999,1.447278934,1.112098197,1.03794719,12.878,3.041614458,4.948155288,5.670044067,108.756645,100.6563406,7.55238461,1.292080101,0.336261916,0.203047279,399.97342,96.37177181,168.3010468,168.8128531,2.25,2.080321285,2.213363839,2.066207206,1.368922361,1.224134728,1,0.795180723,0.433012702,0.271789949
3,84.20732333,78.20732833,53.66295711,51.04593237,0.829564257,0.777618736,128.09447,47.84908333,53.93987189,49.32679055,686.9333333,716.6666667,677.9051914,710.8770666,1.085834527,0.974648563,259.1,269.5666667,108.2547715,86.41312915,151.6666667,148.0,143.1748233,140.3466027,1.047136175,0.966169208,108,57.5,46.59995231,43.829214,7018.666667,8069.333333,5731.025465,6446.566555,0.920963363,0.694552165,9990.0,5405.0,4124.818003,4549.710125,62.96666667,73.25,53.74272683,61.50394353,0.946794983,0.718684856,83.0,47.35,35.19719054,38.60845115,26.0,28.56666667,18.97827619,23.32258189,0.844217942,0.803479764,43.7,15.61666667,18.09769783,16.10400226,63.33333333,86.16666667,37.47998932,56.34094274,0.647407066,0.449375771,137.0,72.83333333,61.5485355,64.00368913,4.0,4.5,3.77976315,4.242640687,1.039720771,0.848685558,3,2.5,1.414213562,1.5
4,72.1299675,72.1299675,55.91197574,55.91197574,1.186377177,1.186377177,122.90607,30.7265175,44.15298093,44.15298093,884.15,884.15,838.7615682,838.7615682,1.334542504,1.334542504,772.0,193.0,286.1034822,286.1034822,126.5,126.5,112.2901707,112.2901707,1.286680572,1.286680572,147,36.75,53.65864329,53.65864329,5195.60725,5195.60725,818.150206,818.150206,1.079253761,1.079253761,8906.571,2226.64275,3238.324114,3238.324114,96.25,96.25,89.31939307,89.31939307,1.317435056,1.317435056,93.0,23.25,35.00982005,35.00982005,12.8555,12.8555,5.08072203,5.08072203,0.980292952,0.980292952,27.478,6.8695,10.50968319,10.50968319,38.506645,38.506645,6.296909207,6.296909207,0.886300791,0.886300791,90.97342,22.743355,35.42228772,35.42228772,3.0,3.0,2.783157684,2.783157684,1.308605387,1.308605387,3,0.75,1.224744871,1.224744871
